 ix          r[AU] il       lam[mic]       tau_vert
  6  5.1861835E-02  5  1.5097181E-01  3.1944296E+00  dust
  6  5.1861835E-02  6  1.7067955E-01  3.0552623E+00  dust
  6  5.1861835E-02  7  1.9296000E-01  2.8983827E+00  dust
  6  5.1861835E-02  8  3.0195156E-01  2.5567464E+00  dust
  6  5.1861835E-02  9  5.8874250E-01  2.0491409E+00  dust
  6  5.1861835E-02 10  1.2118621E+00  1.4994028E+00  dust
  6  5.1861835E-02 11  2.3303096E+00  1.0556699E+00  dust
  6  5.1861835E-02 12  4.3003104E+00  8.1640946E-01  dust
  6  5.1861835E-02 13  6.2450423E+00  6.5050871E-01  dust
  6  5.1861835E-02 14  8.8527200E+00  7.0376738E-01  dust
  6  5.1861835E-02 15  1.2668311E+01  6.2062441E-01  dust
  6  5.1861835E-02 16  1.8134220E+01  6.0795142E-01  dust
  6  5.1861835E-02 17  2.5964377E+01  5.6075191E-01  dust
  6  5.1861835E-02 18  4.2233750E+01  4.0938006E-01  dust
  6  5.1861835E-02 19  8.6443439E+01  2.7532748E-01  dust
  6  5.1861835E-02 20  1.7710287E+02  1.8625917E-01  dust
  6  5.1861835E-02 21  3.6308087E+02  1.2527737E-01  dust
  6  5.1861835E-02 22  7.4469677E+02  8.3105735E-02  dust
  6  5.1861835E-02 23  1.5279094E+03  5.3622598E-02  dust
  6  5.1861835E-02 24  3.1355912E+03  3.2848742E-02  dust
  6  5.1861835E-02 25  6.4360319E+03  1.7537510E-02  dust
  7  5.2303430E-02  1  9.5842289E-02  6.2431596E+00  dust
  7  5.2303430E-02  2  1.0573550E-01  6.1278961E+00  dust
  7  5.2303430E-02  3  1.1812006E-01  5.9894456E+00  dust
  7  5.2303430E-02  4  1.3353968E-01  5.8376262E+00  dust
  7  5.2303430E-02  5  1.5097181E-01  5.6701292E+00  dust
  7  5.2303430E-02  6  1.7067955E-01  5.4229198E+00  dust
  7  5.2303430E-02  7  1.9296000E-01  5.1443039E+00  dust
  7  5.2303430E-02  8  3.0195156E-01  4.5376451E+00  dust
  7  5.2303430E-02  9  5.8874250E-01  3.6362633E+00  dust
  7  5.2303430E-02 10  1.2118621E+00  2.6604082E+00  dust
  7  5.2303430E-02 11  2.3303096E+00  1.8730194E+00  dust
  7  5.2303430E-02 12  4.3003104E+00  1.4485517E+00  dust
  7  5.2303430E-02 13  6.2450423E+00  1.1542549E+00  dust
  7  5.2303430E-02 14  8.8527200E+00  1.2487970E+00  dust
  7  5.2303430E-02 15  1.2668311E+01  1.1012659E+00  dust
  7  5.2303430E-02 16  1.8134220E+01  1.0787999E+00  dust
